,AdmArea,District,Address,PropertyType,ObjectArea,Note,global_id,coordinates
1004,Северный административный округ,Хорошевский,"город Москва, Ходынский бульвар, дом 17",помещение,97.0,-,1016548517,"[37.5214916171971, 55.7876176060724]"
1005,Северный административный округ,Хорошевский,"город Москва, Ходынский бульвар, дом 17",помещение,184.9,-,1016549966,"[37.5214916171971, 55.7876176060724]"
1006,Северо-Восточный административный округ,Бабушкинский,"город Москва, Анадырский проезд, дом 5, корпус 2",помещение,40.4,-,1016550006,"[37.6771968685442, 55.8603373840035]"
1007,Северо-Восточный административный округ,Лосиноостровский,"город Москва, Анадырский проезд, дом 25, корпус 1",помещение,257.1,-,1016550010,"[37.6859163048274, 55.865924992226]"
1008,Северо-Восточный административный округ,Отрадное,"город Москва, Берёзовая аллея, дом 7",помещение,28.7,-,1016550011,"[37.6109865331991, 55.8522772530992]"
1009,Северо-Восточный административный округ,Останкинский,"город Москва, улица Годовикова, дом 6",помещение,160.7,-,1016550012,"[37.6319186385502, 55.8046028222536]"
1010,Северо-Восточный административный округ,Алексеевский,"город Москва, улица Касаткина, дом 16",помещение,92.7,-,1016550013,"[37.6624942375114, 55.8238875787435]"
1011,Северо-Восточный административный округ,Бабушкинский,"город Москва, улица Коминтерна, дом 11/7",помещение,143.0,-,1016550018,"[37.6789580061343, 55.8646873603805]"
1012,Северо-Восточный административный округ,Алексеевский,"город Москва, улица Константинова, дом 11",помещение,33.6,-,1016550019,"[37.6545614751136, 55.8172714639054]"
1013,Северо-Восточный административный округ,Ростокино,"город Москва, проспект Мира, дом 133",помещение,46.1,-,1016550058,"[37.6523449240823, 55.8328935293944]"
1014,Северо-Восточный административный округ,Марьина Роща,"город Москва, Октябрьская улица, дом 69",помещение,91.0,-,1016550059,"[37.6123283492645, 55.7947721543348]"
1015,Северо-Восточный административный округ,Отрадное,"город Москва, Отрадный проезд, дом 3А",помещение,179.3,-,1016550483,"[37.6081082560192, 55.854744664273]"
1016,Западный административный округ,Филевский Парк,"город Москва, Новозаводская улица, дом 25, корпус 4",помещение,159.7,-,1016550486,"[37.4979134431401, 55.7513011078612]"
1017,Юго-Западный административный округ,Южное Бутово,"город Москва, улица Маршала Савицкого, дом 32, корпус 1",помещение,154.1,-,1016550613,"[37.6010426183174, 55.5023352631237]"
1018,Северный административный округ,Бескудниковский,"город Москва, Бескудниковский бульвар, дом 48, корпус 4",помещение,247.0,-,1016550614,"[37.5413344769644, 55.8745271896864]"
1019,Северный административный округ,Аэропорт,"город Москва, улица Степана Супруна, дом 4",помещение,206.9,-,1016550615,"[37.5445723876444, 55.7969800005809]"
1020,Северо-Восточный административный округ,Ростокино,"город Москва, проезд Кадомцева, дом 13",помещение,208.4,-,1016550616,"[37.6638307449006, 55.8287619404056]"
1021,Юго-Западный административный округ,Гагаринский,"город Москва, Ленинский проспект, дом 44",помещение,54.7,-,1016550617,"[37.5672442380891, 55.7016974233698]"
1022,Северный административный округ,Бескудниковский,"город Москва, Дмитровское шоссе, дом 95, корпус 1",помещение,170.1,-,1016550618,"[37.5460170624206, 55.8716754990608]"
1023,Северный административный округ,Коптево,"город Москва, 3-й Новомихалковский проезд, дом 6",помещение,180.7,-,1016550619,"[37.5417918079479, 55.8403368308997]"
1024,Северо-Восточный административный округ,Ярославский,"город Москва, улица Егора Абакумова, дом 9",помещение,120.7,-,1016550620,"[37.7143481135849, 55.8790120945119]"
1025,Северо-Восточный административный округ,Бабушкинский,"город Москва, Енисейская улица, дом 3, корпус 2",помещение,53.6,-,1016550621,"[37.6562786276887, 55.8596700300027]"
1026,Северо-Восточный административный округ,Лосиноостровский,"город Москва, Изумрудная улица, дом 16/11",помещение,59.1,-,1016550622,"[37.6819614628702, 55.8703567598955]"
1027,Северо-Восточный административный округ,Останкинский,"город Москва, Калибровская улица, дом 20А",помещение,70.6,-,1016550623,"[37.6212910237495, 55.8085199164832]"
1028,Северо-Восточный административный округ,Бабушкинский,"город Москва, Ленская улица, дом 17",помещение,256.7,-,1016550626,"[37.6615470667932, 55.8668010709786]"
1029,Северо-Восточный административный округ,Ярославский,"город Москва, Лосевская улица, дом 22",помещение,13.3,-,1016550627,"[37.7163588104858, 55.8775033275813]"
1030,Северный административный округ,Войковский,"город Москва, улица Космонавта Волкова, дом 19",помещение,299.6,-,1016550628,"[37.5179759971026, 55.816268446904]"
1031,Северный административный округ,Тимирязевский,"город Москва, Локомотивный проезд, дом 9",помещение,28.6,-,1016550629,"[37.5764823511317, 55.8407841142855]"
1032,Северный административный округ,Головинский,"город Москва, Флотская улица, дом 82/6",помещение,53.5,-,1016550630,"[37.5148996455639, 55.8609007587417]"
1033,Северо-Восточный административный округ,Отрадное,"город Москва, Алтуфьевское шоссе, дом 24",помещение,44.2,-,1016550631,"[37.5861737214317, 55.8620025325536]"
1034,Северный административный округ,Сокол,"город Москва, 3-я Песчаная улица, дом 5, корпус 2",помещение,35.5,-,1016550632,"[37.5134854212005, 55.7935487574342]"
1035,Северо-Восточный административный округ,Марфино,"город Москва, Ботаническая улица, дом 10",помещение,88.7,-,1016550634,"[37.5855164798167, 55.8452902650463]"
1036,Северо-Восточный административный округ,Ярославский,"город Москва, улица Егора Абакумова, дом 11",помещение,138.4,-,1016550636,"[37.7134335604199, 55.8793907537456]"
1037,Северо-Восточный административный округ,Свиблово,"город Москва, Тенистый проезд, дом 6",помещение,99.1,-,1016550655,"[37.6377138515719, 55.8597542439491]"
1038,Восточный административный округ,Измайлово,"город Москва, 9-я Парковая улица, дом 5, корпус 2",помещение,160.0,-,1016550861,"[37.7977930272563, 55.7900806828714]"
1039,Восточный административный округ,Соколиная Гора,"город Москва, Фортунатовская улица, дом 12",помещение,85.8,-,1016550940,"[37.7380854493661, 55.7889988181015]"
1040,Восточный административный округ,Измайлово,"город Москва, Первомайская улица, дом 24",помещение,13.5,-,1016550996,"[37.7787327641706, 55.7919782703456]"
1041,Восточный административный округ,Измайлово,"город Москва, Первомайская улица, дом 24",помещение,138.6,-,1016551004,"[37.7787327641706, 55.7919782703456]"
1042,Восточный административный округ,Соколиная Гора,"город Москва, Зверинецкая улица, дом 22",помещение,144.3,-,1016551005,"[37.7320058413866, 55.7842354248299]"
1043,Восточный административный округ,Соколиная Гора,"город Москва, Мироновская улица, дом 40",помещение,75.3,-,1016551006,"[37.7341240157046, 55.7910400926346]"
1044,Восточный административный округ,Соколиная Гора,"город Москва, Окружной проезд, дом 11, корпус 7",помещение,200.9,-,1016551009,"[37.7425761462064, 55.7922929022911]"
1045,Восточный административный округ,Соколиная Гора,"город Москва, Мироновская улица, дом 40",помещение,74.5,-,1016551016,"[37.7341240157046, 55.7910400926346]"
1046,Восточный административный округ,Новокосино,"город Москва, Новокосинская улица, дом 15, корпус 7",помещение,200.2,-,1016551017,"[37.8530609218412, 55.7394790197547]"
